conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.88e+18,Wed Jan 22 09:03:55 +0000 2025,2,Kepala Kantor Bea Cukai Bekasi Yanti Sarmuhidayanti meresmikan pabrik baru PT Hogy Indonesia fase 5 pada Selasa 21 Januari 2025. Yuk cek! https://t.co/rlCV5i3rUD,1.88e+18,https://pbs.twimg.com/media/Gh4s-sRa4AA33tx.jpg,,in,,0,1,0,https://x.com/undefined/status/1881991170320134296,1.22e+18,
1.88e+18,Tue Jan 28 07:12:17 +0000 2025,3390,Bea Cukai Berulah Lagiâ¼ï¸ Lah lupa apa kemaren ada yg dapet juara lomba di LN trs pialanya dibawa pulang suruh bayar âï¸ https://t.co/AXUAROHC42,1.88e+18,https://pbs.twimg.com/media/GiXM-sPaYAIAOvs.jpg,,in,,39,111,568,https://x.com/undefined/status/1884137403067273298,3265540177.0,
1.88e+18,Sat Jan 25 05:43:09 +0000 2025,2273,Kira kira Bea cukai melakukan ini atas perintah siapa? https://t.co/xWak4ytx44,1.88e+18,https://pbs.twimg.com/media/GiHb0OGaUAAzu_O.jpg,,in,,25,153,977,https://x.com/undefined/status/1883027811965030636,1.37e+18,
1.88e+18,Mon Jan 27 12:50:49 +0000 2025,3,Iphone 16 128 gb inter + bea cukai brand new sisa 3 khusus malem ini gas murah aja buat sultan2 kuh Tidak terima palkor dkk Penipuan segitiga dkk Serius kerumah langsung aja / kirim2 Bantu up @bhaguz_403 @balmadudin @MulkyIcal https://t.co/3KzJkgU9ed,1.88e+18,https://pbs.twimg.com/media/GiTQ3xXaoAIR-9H.jpg,,in,,0,3,0,https://x.com/undefined/status/1883860209577365893,1.25e+18,
1.88e+18,Sun Jan 26 06:20:15 +0000 2025,4,WTS Iphone 12 mini black 64gb Wifi Only Ready! health baterai 100% Box + kabel charger face id &amp; true tone On wifi only (gabisa pake sim) cod bekasi/oren price 3 3 yukk net tag. wtb jual iphone 11 xr xs 13 pro max bea cukai pro #zonajajan #zonabu #zonauang #zonaba https://t.co/77ZhKWRwU7,1.88e+18,https://pbs.twimg.com/media/GiMt5Saa4AEyUPR.jpg,,in,,1,2,0,https://x.com/undefined/status/1883399534900036038,1.24e+18,
1.88e+18,Sun Jan 26 12:07:37 +0000 2025,9,WTS iPad Gen 9 Space grey 64gb Wifi Ex Internasional (Beli New) Masih Garansi 3Utools Hijau Fullset Dus Box Charger Inc. Pencil Keyboard Case Idr 3.000k Nett tag. wtb jual iphone 11 xr xs 13 pro max bea cukai pro #zonajajan #zonabu #zonauang #zonaba https://t.co/7BOynebVbT,1.88e+18,https://pbs.twimg.com/media/GiN9Zm_a4AAIVYX.jpg,,in,,1,6,0,https://x.com/undefined/status/1883486951548112936,1.24e+18,
1.88e+18,Sun Jan 26 06:04:24 +0000 2025,136,Masih penasaran siapa wanita terkaya di Sumenep Tujuan hidup seperti Kepala Bea Cukai Madura ternyata bagus juga https://t.co/2DcoLmuFl9,1.88e+18,https://pbs.twimg.com/media/GiMqREVbUAADfth.jpg,,in,,1,48,45,https://x.com/undefined/status/1883395544250515726,1.61e+18,
1.88e+18,Tue Jan 28 13:14:25 +0000 2025,350,Para pelaut Makassar pencari tripang di bagian utara Australia 'dituduh' sebagai sumber wabah cacar tahun 1789 oleh petugas bea dan cukai di Darwin kemungkinan karena motif ekonomi dan menutupi penyebaran wabah setelah armada Inggris tiba di bagian tenggara Australia. https://t.co/mqsu5zIS57,1.88e+18,https://pbs.twimg.com/media/GiYf3dybMAAoxa7.jpg,,in,,4,3,116,https://x.com/undefined/status/1884228539433750754,118363988.0,
1.88e+18,Sun Jan 26 04:59:33 +0000 2025,3,Tahukah #SahabatBC setiap tanggal 26 Januari diperingati sebagai Hari Pabean Internasional (HPI) dan Bea Cukai merupakan salah satu instansi kepabeanan yang tergabung dalam World Customs Organization (WCO). Selengkapnya https://t.co/CyOsk6FQE7,1.88e+18,https://pbs.twimg.com/media/GiMba-FbYAAqWkF.jpg,,in,,0,3,1,https://x.com/undefined/status/1883379224691773751,2940183750.0,
1.88e+18,Sun Jan 26 14:50:02 +0000 2025,8,Halooooo P2 Bea Cukai Yg kiri : Phimax Cuman buwat kamuflase Yg Kanan : Becak Alat buat giling rokok polos tanpa pita cukai Silakan dijadiin TO Ciri-cirinya : 1. Laki-laki 2. Usia sdh 4.000 taon 3. Janggute ada oyot pring warna putih 4. Numpake jupiter kuning 5. Ahli osple ra https://t.co/Fglpx5Cr7U,1.88e+18,https://pbs.twimg.com/media/GiOikhhasAAxlQP.jpg,,in,,0,3,1,https://x.com/undefined/status/1883527825044738438,1.69e+18,
